station,shuttle,launch,option,space
insurance,geico,mail,quote,people
engine,small,power,turbo,driving
car,ford,find,feel,probe
clutch,shifter,manual,sho,shift
article,edu,writes,apr,called
space,such,time,long,sci
cars,diesels,put,lot,heard
nasa,science,internet,information,mars
sky,people,light,money,rights
mission,hst,solar,shuttle,pat
etc,earth,large,life,planets
writes,good,system,oort,cloud
edu,writes,apr,article,eliot
henry,toronto,spencer,writes,zoo
edu,gif,uci,ics,incoming
oil,bill,service,moon,back
want,even,two,cost,extra
cars,george,mustang,bit,big
don,make,book,price,use
